file_path,token_count,word_count,character_count,estimated_pages,directory,filename
actes_uniformes\droit des sociétés commerciales et du groupement d'intèrêt économique\ACTE UNIFORME RÉVISÉ RELATIF AU DROIT DES SOCIÉTÉS COMMERCIALES ET DU GROUPEMENT D'INTÉRÊT ÉCONOMIQUE.docx,143746,85116,552825,283.7,actes_uniformes\droit des sociétés commerciales et du groupement d'intèrêt économique,ACTE UNIFORME RÉVISÉ RELATIF AU DROIT DES SOCIÉTÉS COMMERCIALES ET DU GROUPEMENT D'INTÉRÊT ÉCONOMIQUE.docx
actes_uniformes\organisation de procédures collectives d'apurement du passif\ACTE UNIFORME PORTANT ORGANISATION DES PROCÉDURES COLLECTIVES D'APUREMENT DU PASSIF.docx,80635,46060,299821,153.5,actes_uniformes\organisation de procédures collectives d'apurement du passif,ACTE UNIFORME PORTANT ORGANISATION DES PROCÉDURES COLLECTIVES D'APUREMENT DU PASSIF.docx
actes_uniformes\droit des sociétés coopératives\ACTE UNIFORME RELATIF AU DROIT DES SOCIÉTÉS COOPÉRATIVES.docx,45031,26053,173651,86.8,actes_uniformes\droit des sociétés coopératives,ACTE UNIFORME RELATIF AU DROIT DES SOCIÉTÉS COOPÉRATIVES.docx
actes_uniformes\droit commercial général\ACTE UNIFORME RÉVISÉ PORTANT SUR LE DROIT COMMERCIAL GÉNÉRAL.docx,44848,26008,167494,86.7,actes_uniformes\droit commercial général,ACTE UNIFORME RÉVISÉ PORTANT SUR LE DROIT COMMERCIAL GÉNÉRAL.docx
actes_uniformes\organisation des sûretés\ACTE UNIFORME RÉVISÉ PORTANT ORGANISATION DES SÛRETÉS.docx,31792,18443,117872,61.5,actes_uniformes\organisation des sûretés,ACTE UNIFORME RÉVISÉ PORTANT ORGANISATION DES SÛRETÉS.docx
actes_uniformes\droit comptable et information financière\ACTE UNIFORME RELATIF AU DROIT COMPTABLE ET À L'INFORMATION FINANCIÈRE.docx,22372,12949,86635,43.2,actes_uniformes\droit comptable et information financière,ACTE UNIFORME RELATIF AU DROIT COMPTABLE ET À L'INFORMATION FINANCIÈRE.docx
actes_uniformes\contrats de transport de marchandises par route\ACTE UNIFORME RELATIF AUX CONTRATS DE TRANSPORT DE MARCHANDISES PAR ROUTE.docx,10025,6076,37704,20.3,actes_uniformes\contrats de transport de marchandises par route,ACTE UNIFORME RELATIF AUX CONTRATS DE TRANSPORT DE MARCHANDISES PAR ROUTE.docx
plan_comptable\chapitres_word\partie_1\chapitre_6.docx,7882,4118,26917,13.7,plan_comptable\chapitres_word\partie_1,chapitre_6.docx
plan_comptable\chapitres_word\partie_3\chapitre_1.docx,6776,3747,24107,12.5,plan_comptable\chapitres_word\partie_3,chapitre_1.docx
plan_comptable\chapitres_word\partie_1\chapitre_5.docx,6570,3279,21454,10.9,plan_comptable\chapitres_word\partie_1,chapitre_5.docx
actes_uniformes\droit de l'arbitrage\ACTE UNIFORME RELATIF AU DROIT DE L'ARBITRAGE.docx,6242,3673,23478,12.2,actes_uniformes\droit de l'arbitrage,ACTE UNIFORME RELATIF AU DROIT DE L'ARBITRAGE.docx
plan_comptable\chapitres_word\partie_2\chapitre_22.docx,5907,3038,18584,10.1,plan_comptable\chapitres_word\partie_2,chapitre_22.docx
plan_comptable\chapitres_word\partie_2\chapitre_38.docx,5443,2758,15783,9.2,plan_comptable\chapitres_word\partie_2,chapitre_38.docx
plan_comptable\chapitres_word\partie_1\chapitre_2.docx,5345,2882,18419,9.6,plan_comptable\chapitres_word\partie_1,chapitre_2.docx
plan_comptable\chapitres_word\partie_1\chapitre_4.docx,4865,2514,15729,8.4,plan_comptable\chapitres_word\partie_1,chapitre_4.docx
actes_uniformes\médiation\ACTE UNIFORME RELATIF À LA MÉDIATION.docx,4822,2851,18026,9.5,actes_uniformes\médiation,ACTE UNIFORME RELATIF À LA MÉDIATION.docx
plan_comptable\chapitres_word\partie_1\chapitre_3.docx,4658,2412,15542,8.0,plan_comptable\chapitres_word\partie_1,chapitre_3.docx
presentation_ohada\TRAITÉ RELATIF À L'HARMONISATION DU DROIT DES AFFAIRES EN AFRIQUE.docx,4292,2357,15261,7.9,presentation_ohada,TRAITÉ RELATIF À L'HARMONISATION DU DROIT DES AFFAIRES EN AFRIQUE.docx
presentation_ohada\Présentation de l'OHADA.docx,4229,2247,15544,7.5,presentation_ohada,Présentation de l'OHADA.docx
plan_comptable\chapitres_word\partie_3\chapitre_2.docx,4179,2132,13696,7.1,plan_comptable\chapitres_word\partie_3,chapitre_2.docx
plan_comptable\chapitres_word\partie_4\chapitre_3.docx,3542,1798,11264,6.0,plan_comptable\chapitres_word\partie_4,chapitre_3.docx
plan_comptable\chapitres_word\partie_2\chapitre_21.docx,2765,1391,8480,4.6,plan_comptable\chapitres_word\partie_2,chapitre_21.docx
plan_comptable\chapitres_word\partie_2\chapitre_2.docx,2624,1256,7846,4.2,plan_comptable\chapitres_word\partie_2,chapitre_2.docx
